epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.656,2.19235,2.71493,1.53526,0.43828,0.15269,0.1232,0.05034,2.02554,2.23093,1.45535,0.000333128,0.000333128,0.0670203
2,541.548,2.09053,2.35574,1.47375,0.18079,0.16492,0.11324,0.04595,1.92189,2.31209,1.39663,0.0006624,0.0006624,0.0340162
3,732.139,2.00545,2.21495,1.4254,0.30798,0.27366,0.1693,0.06929,1.86511,2.17403,1.37715,0.000975573,0.000975573,0.000996061
4,922.869,1.94541,2.1171,1.39592,0.33714,0.29684,0.26371,0.10721,1.80721,1.89423,1.30657,0.000946048,0.000946048,0.000946048
5,1112.83,1.92156,2.05751,1.36549,0.32572,0.28926,0.22304,0.08906,1.77924,1.95061,1.27981,0.000905463,0.000905463,0.000905463
6,1306.12,1.88598,1.98201,1.34992,0.35281,0.33854,0.27954,0.11995,1.73551,1.76928,1.25666,0.000855018,0.000855018,0.000855018
7,1498.93,1.85512,1.89333,1.32983,0.45862,0.37685,0.35801,0.15113,1.72833,1.72697,1.26036,0.000795954,0.000795954,0.000795954
8,1689.62,1.81923,1.86297,1.30898,0.43044,0.37383,0.3432,0.15086,1.68469,1.66988,1.2247,0.000729725,0.000729725,0.000729725
9,1879.25,1.8054,1.81686,1.29248,0.46666,0.41533,0.39231,0.17824,1.67532,1.72382,1.21315,0.000657963,0.000657963,0.000657963
10,2068.8,1.77638,1.77899,1.27541,0.47586,0.37125,0.36585,0.16142,1.6719,1.74501,1.18786,0.000582435,0.000582435,0.000582435
11,2255.01,1.78336,1.86167,1.307,0.50321,0.41859,0.4131,0.19022,1.70606,1.60272,1.21586,0.000505,0.000505,0.000505
12,2439.24,1.76435,1.79615,1.29858,0.46445,0.39936,0.39488,0.18578,1.6536,1.59716,1.19022,0.000427565,0.000427565,0.000427565
13,2623.62,1.73425,1.73105,1.28424,0.52417,0.42208,0.43061,0.19348,1.63575,1.56311,1.1851,0.000352037,0.000352037,0.000352037
14,2805.89,1.71509,1.68379,1.26073,0.57152,0.41886,0.43873,0.19295,1.63668,1.55294,1.17041,0.000280275,0.000280275,0.000280275
15,2988.23,1.70888,1.65711,1.26025,0.49565,0.44175,0.44166,0.19972,1.6266,1.53635,1.16365,0.000214046,0.000214046,0.000214046
16,3171.53,1.67405,1.59477,1.2363,0.53664,0.45572,0.4512,0.2105,1.60868,1.50089,1.15334,0.000154982,0.000154982,0.000154982
17,3363.48,1.67246,1.56464,1.22931,0.57921,0.43981,0.47557,0.22506,1.60895,1.49888,1.14789,0.000104537,0.000104537,0.000104537
18,3547.66,1.63495,1.52179,1.21276,0.56985,0.45166,0.48073,0.22648,1.5897,1.44534,1.15047,6.39518e-05,6.39518e-05,6.39518e-05
19,3730.45,1.63547,1.54151,1.21075,0.58227,0.45106,0.48193,0.23,1.59208,1.44058,1.15098,3.4227e-05,3.4227e-05,3.4227e-05
20,3920.83,1.62118,1.51157,1.21327,0.5734,0.45704,0.48246,0.22694,1.59326,1.43887,1.14972,1.60943e-05,1.60943e-05,1.60943e-05
